Name of University,Name of University_lbEncode,Location,Location_lbEncode
The University of Electro-Communications,986,Japan,43
The University of Chicago,985,United States,94
The University of Alabama,984,United States,94
University of Göttingen,1272,Germany,29
University of Haifa,1273,Israel,40
University of Hail,1274,Saudi Arabia,74
University of Vienna,1539,Austria,3
University of Zanjan,1563,Iran,37
University of Zambia,1562,Zambia,98
University of Zagreb,1561,Croatia,16
University of York,1560,United Kingdom,93
University of Yamanashi,1559,Japan,43
University of Würzburg,1558,Germany,29
University of Wyoming,1557,United States,94
University of Wrocław,1556,Poland,69
University of Wollongong,1555,Australia,2
University of Wisconsin-Milwaukee,1554,United States,94
University of Wisconsin-Madison,1553,United States,94
University of Winchester,1552,United Kingdom,93
University of Westminster,1551,United Kingdom,93
University of Western Macedonia,1550,Greece,31
University of West Bohemia,1549,Czech Republic,19
University of West Attica,1548,Greece,31
University of Waterloo,1547,Canada,11
University of Washington,1546,United States,94
University of Warwick,1545,Unknown Location,95
University of Warsaw,1544,Poland,69
University of Warmia and Mazury in Olsztyn,1543,Poland,69
University of Waikato,1542,New Zealand,61
University of Virginia (Main campus),1541,United States,94
University of Zaragoza,1564,Spain,81
University of Zimbabwe,1565,Zimbabwe,99
University of Zurich,1566,Switzerland,84
University of the Sunshine Coast,1579,Australia,2
Université Chouaïb Doukkali,1589,Morocco,56
Université Catholique de Louvain,1588,Belgium,6
